codigo tabla,edad min,edad max,cotizante hombre,cotizante mujer,carga hombre,carga mujer
34,0,1,5.00,5.00,5.00,5.00
34,2,4,5.00,5.00,5.00,5.00
34,5,9,5.00,5.00,5.00,5.00
34,10,14,5.00,5.00,5.00,5.00
34,15,19,0.8,1.7,0.8,1.7
34,20,24,0.8,2.3,0.8,1.8
34,25,29,0.85,2.4,0.85,2.3
34,30,34,1.00,2.5,1.00,2.4
34,35,39,1.1,2.5,1.1,2.4
34,40,44,1.25,2.6,1.2,2.4
34,45,49,1.5,2.8,1.5,2.7
34,50,54,2.00,3.1,1.9,3.00
34,55,59,3.2,3.4,3.00,3.3
34,60,64,4.00,4.00,4.00,4.00
34,65,69,5.00,5.00,5.00,5.00
34,70,74,5.00,5.00,5.00,5.00
34,75,79,5.00,5.00,5.00,5.00
34,80,200,5.00,5.00,5.00,5.00
21,0,1,2.00,2.00,2.00,2.00
21,2,4,0.90,0.90,0.90,0.90
21,5,9,0.70,0.60,0.70,0.60
21,10,14,0.60,0.60,0.60,0.60
21,15,19,0.80,0.90,0.80,0.90
21,20,24,0.80,1.40,0.80,1.00
21,25,29,0.90,2.30,0.90,1.80
21,30,34,1.00,3.10,0.90,2.30
21,35,39,1.20,2.70,0.90,2.00
21,40,44,1.30,2.20,0.90,1.50
21,45,49,1.50,2.20,1.00,1.90
21,50,54,1.90,2.40,1.20,2.10
21,55,59,2.50,2.80,1.80,2.40
21,60,64,2.90,3.00,2.50,2.60
21,65,69,3.40,3.10,3.40,3.10
21,70,74,4.00,3.10,4.00,3.10
21,75,79,4.50,3.70,4.50,3.70
21,80,200,4.90,4.30,4.90,4.30
537,0,1,1.80,1.80,1.80,1.80
537,2,4,0.95,0.80,0.80,0.77
537,5,9,0.75,0.55,0.63,0.55
537,10,14,0.65,0.55,0.55,0.55
537,15,19,0.60,0.70,0.55,0.60
537,20,24,0.70,1.55,0.68,0.92
537,25,29,0.80,2.15,0.68,1.50
537,30,34,1.00,3.30,1.00,1.80
537,35,39,1.10,3.05,1.10,1.65
537,40,44,1.30,2.40,1.30,1.55
537,45,49,1.45,2.45,1.45,1.60
537,50,54,1.75,2.70,1.75,1.90
537,55,59,2.40,3.20,2.40,2.10
537,60,64,3.10,3.50,3.10,2.50
537,65,69,4.30,3.70,4.30,3.00
537,70,74,4.50,3.80,4.50,3.25
537,75,79,5.50,4.50,5.50,4.50
537,80,200,5.50,4.90,5.50,4.50
57,0,1,1.80,1.80,1.80,1.80
57,2,4,0.80,0.80,0.60,0.60
57,5,9,0.70,0.70,0.50,0.50
57,10,14,0.70,0.70,0.50,0.50
57,15,19,0.70,0.70,0.50,0.50
57,20,24,0.80,2.00,0.50,0.80
57,25,29,0.90,2.35,0.70,1.50
57,30,34,1.00,3.30,1.00,1.85
57,35,39,1.00,3.30,1.00,1.75
57,40,44,1.20,2.40,1.20,1.60
57,45,49,1.30,2.40,1.30,1.80
57,50,54,1.60,2.45,1.60,1.85
57,55,59,2.10,2.55,2.10,2.10
57,60,64,2.70,2.70,2.70,2.70
57,65,69,3.20,3.20,3.20,3.20
57,70,74,3.80,3.80,3.80,3.80
57,75,79,4.50,3.90,4.50,3.90
57,80,200,4.70,4.50,4.70,4.50
62,0,1,1.80,1.80,1.80,1.80
62,2,4,0.80,0.80,0.80,0.77
62,5,9,0.70,0.70,0.60,0.55
62,10,14,0.65,0.70,0.55,0.55
62,15,19,0.60,1.29,0.50,0.74
62,20,24,0.70,2.16,0.50,1.39
62,25,29,0.80,2.59,0.80,1.59
62,30,34,1.00,3.29,0.99,1.84
62,35,39,1.00,3.29,1.00,1.84
62,40,44,1.20,2.79,1.20,1.84
62,45,49,1.45,2.79,1.44,1.84
